Category_ID,Total_Impact,Avg_Beta,A_mean
807,0.00010718614677091403,0.5717309280249362,0.00018747656
2362,0.00010700026853484857,0.4565915556935501,0.0002343457
644,0.00010628097135478814,0.5669027221767207,0.00018747656
1706,0.00010547473381225484,0.48223047409159514,0.00021872266
1729,0.00010530896811317662,0.6740616575688927,0.00015623047
2608,0.00010519531190766213,0.4809529571673698,0.00021872266
1578,0.00010501585116962392,0.33609273729816225,0.00031246094
2565,0.00010445699769245416,0.8357604370170864,0.00012498438
14,0.00010412277213306132,0.44431270278425355,0.0002343457
2551,0.00010399485622292289,0.20801571078152314,0.0004999375
1196,0.00010384779552235141,0.3498468404648446,0.00029683788
1206,0.00010319591144763938,0.8256704859906768,0.00012498438
1733,0.0001027701458914982,0.18794603683756292,0.00054680667
2633,0.0001026386477537081,0.4379796470967259,0.0002343457
1287,0.0001025646223347128,0.4376637658220081,0.0002343457
1245,0.00010239938642502798,0.05852124826207945,0.0017497813
64,0.00010179967671865748,0.9308562267394045,0.00010936133
2547,0.000101760167553668,0.46524747747070344,0.00021872266
1438,0.00010175679072732356,0.12289148421387239,0.0008280215
1655,0.00010142285403211019,0.021858161208508503,0.004640045
1209,0.00010078446725447024,0.403188260518113,0.00024996875
1727,0.00010055344774954061,0.23837870533669508,0.00042182227
1297,0.00010051047489515988,0.008543790596491846,0.011764155
895,0.00010046706562704568,0.6430696074703598,0.00015623047
562,9.891669180265418e-05,0.08117256160650609,0.0012185976
1367,9.884351033453769e-05,0.051858815628419895,0.0019060117
912,9.882797920937154e-05,0.1471111921999718,0.00067179103
1426,9.87549481181128e-05,0.9030152289297413,0.00010936133
2534,9.835277794519274e-05,0.44966889246820796,0.00021872266
371,9.810538956051462e-05,1.5698824408917555,6.249219e-05
2051,9.751172936749295e-05,0.2972157522193335,0.000328084
2577,9.750288762607791e-05,1.0401608436715561,9.373828e-05
1224,9.749931267829205e-05,0.8915336986798756,0.00010936133
1648,9.747987706128469e-05,0.10399153508136326,0.0009373828
956,9.596153971904329e-05,0.07060122048348594,0.0013592051
1604,9.539036617761128e-05,1.2211493378737035,7.8115234e-05
870,9.475487609647253e-05,0.16847416285460026,0.0005624297
1005,9.468842021675949e-05,0.60608165313418,0.00015623047
834,9.3231024482774e-05,0.0877578129651022,0.0010623672
1854,9.254128245347838e-05,0.5384893030737666,0.00017185352
1844,9.251923223033468e-05,0.592197114372613,0.00015623047
215,9.188106916049738e-05,1.4702808660318538,6.249219e-05
2149,9.186744912583302e-05,0.07350314762346999,0.0012498437
615,9.173767002910055e-05,0.2796164192903508,0.000328084
666,9.133290785165572e-05,0.09429091646781576,0.0009686289
2111,9.076745386748646e-05,0.26408377795852495,0.00034370704
575,8.979939045148757e-05,0.38319196716056414,0.0002343457
2702,8.973869751016527e-05,0.09573324455894847,0.0009373828
2293,8.954715998670708e-05,0.8188192158097378,0.00010936133
1512,8.945838931042081e-05,0.8180074967607539,0.00010936133
483,8.87657853866742e-05,0.0386511592666415,0.002296588
1409,8.868967556382407e-05,0.1493907628071787,0.00059367577
157,8.859865572459522e-05,0.13188424953369987,0.00067179103
235,8.796566896965093e-05,0.24480462550672727,0.0003593301
1863,8.780084201221275e-05,0.7024945356618841,0.00012498438
2641,8.763957281063326e-05,0.9349389973281346,9.373828e-05
888,8.761600098079807e-05,0.4313942331388445,0.00020309961
2204,8.722831763338795e-05,0.1691912147219751,0.00051556056
1930,8.66761713639959e-05,0.5547968495764808,0.00015623047
1615,8.653024016444981e-05,0.1496926308362429,0.0005780528
2429,8.652471044573462e-05,0.1909749482927654,0.00045306838
598,8.640739586742688e-05,0.23044853330294193,0.00037495312
715,8.599349435432355e-05,0.42340550968587537,0.00020309961
2023,8.589614402396466e-05,0.08867807159086634,0.0009686289
1151,8.572796207427256e-05,0.9145459332382795,9.373828e-05
1187,8.553500098824138e-05,0.17109138541551638,0.0004999375
29,8.548542786094784e-05,0.11166839644062197,0.0007655293
1041,8.485087953386462e-05,0.11555606196638553,0.00073428324
1395,8.475785164809054e-05,0.12917096639288933,0.000656168
1247,8.419274579009698e-05,0.21556037552873253,0.00039057617
2470,8.324764981922955e-05,0.14801431536492432,0.0005624297
2065,8.299372535517875e-05,0.40863557003451695,0.00020309961
1305,8.274903501838388e-05,0.07905373344752702,0.0010467442
1699,8.269704694443893e-05,0.6616590713989051,0.00012498438
566,8.263220417745316e-05,0.31112482392334667,0.0002655918
968,8.220343690647255e-05,0.751668213203132,0.00010936133
657,8.202137063194242e-05,0.20192399726460014,0.00040619922
2004,8.18902380336365e-05,0.5824033492327878,0.00014060743
139,8.148203971837445e-05,0.22676096768687018,0.0003593301
2053,8.116182964971086e-05,0.6493757978461289,0.00012498438
165,8.10600617972986e-05,0.2882495680399173,0.00028121486
49,8.02855389655228e-05,0.5138916888422237,0.00015623047
1354,8.00732366672153e-05,0.10459852819574111,0.0007655293
1260,8.001757270243527e-05,0.34145099356575526,0.0002343457
2540,7.80028570183627e-05,0.17831452785374804,0.00043744533
1120,7.78475578017434e-05,1.2457166176775525,6.249219e-05
2031,7.783169214685386e-05,0.38321930665323567,0.00020309961
741,7.739275576627491e-05,0.38105811895718805,0.00020309961
2599,7.669519453456758e-05,1.2272765007097475,6.249219e-05
640,7.655562009708338e-05,0.37693632047287695,0.00020309961
2326,7.637110331933547e-05,0.9776723372404827,7.8115234e-05
2178,7.610413093774254e-05,0.8118788988760243,9.373828e-05
65,7.60069143441868e-05,1.2162626411233082,6.249219e-05
2529,7.489848802165831e-05,0.7990170997714672,9.373828e-05
1774,7.48089750846482e-05,0.9576745960020189,7.8115234e-05
2496,7.45210981006296e-05,0.5962433048185772,0.00012498438
414,7.435599435752381e-05,0.951875717801179,7.8115234e-05
691,7.424670381479072e-05,0.36556792705350905,0.00020309961
2328,7.411035596676502e-05,0.7906093066988532,9.373828e-05
631,7.38353698255135e-05,0.6751506092267322,0.00010936133
2514,7.37633487293735e-05,0.15230466032515866,0.00048431446
1516,7.366634215035248e-05,0.9430470659163299,7.8115234e-05
683,7.359611970384028e-05,0.31404936874192046,0.0002343457
1726,7.331825176232214e-05,0.46929547595463067,0.00015623047
1318,7.213377775629982e-05,0.03228768468288449,0.0022340957
645,7.151874983779917e-05,0.06270920457750495,0.0011404825
1692,7.139638464189195e-05,0.1575841259107948,0.00045306838
907,7.08386904331907e-05,0.5038047458917958,0.00014060743
913,7.061443391618902e-05,0.6456983718153168,0.00010936133
2233,7.040826369982289e-05,0.1669145227876593,0.00042182227
1442,7.027993901236919e-05,0.8996956865744995,7.8115234e-05
2179,6.903681743092425e-05,0.7364847955963858,9.373828e-05
780,6.88834550028264e-05,0.14222878159612443,0.00048431446
2724,6.860717389113252e-05,0.7319013581443418,9.373828e-05
2432,6.809538779088693e-05,0.029450333567951598,0.002312211
1470,6.783990623640157e-05,0.8684593623191227,7.8115234e-05
939,6.757802301481325e-05,0.36046118809482236,0.00018747656
1977,6.724554051876939e-05,0.2690157843560001,0.00024996875
410,6.676217271104742e-05,0.5341641428894515,0.00012498438
2646,6.648730542003631e-05,1.063929859396144,6.249219e-05
1841,6.628155246550593e-05,0.385686323417231,0.00017185352
998,6.603610059909094e-05,0.03740565165230502,0.0017654044
1311,6.571867685410842e-05,0.0978260709078204,0.00067179103
1570,6.553670379131394e-05,0.6991455819078094,9.373828e-05
2538,6.532874477368747e-05,0.2459742471736305,0.0002655918
118,6.518221909432707e-05,0.4172183569353891,0.00015623047
1536,6.493507185449421e-05,0.2597727544813802,0.00024996875
1074,6.455261932629605e-05,0.29513457011405303,0.00021872266
1661,6.454294860886313e-05,0.6885442012292686,9.373828e-05
111,6.452932192792791e-05,0.37549025333921693,0.00017185352
570,6.437185516238143e-05,0.09582124852517321,0.00067179103
1496,6.436675528342537e-05,0.45777634497675024,0.00014060743
1508,6.406163921603467e-05,1.3668191848732811,4.686914e-05
1304,6.392220808811196e-05,0.021421637148396705,0.002984002
369,6.385226914310275e-05,0.042134599774674916,0.0015154355
1843,6.353108477917642e-05,0.4066497761840972,0.00015623047
1455,6.298167622357174e-05,0.17527526184126296,0.0003593301
272,6.235641634060531e-05,0.1663045685321614,0.00037495312
1179,6.214158762686098e-05,0.06520588199856055,0.00095300586
1138,6.210460973690917e-05,0.6625320011810474,9.373828e-05
1141,6.158914490410564e-05,0.7884396143298203,7.8115234e-05
1535,6.121872090329562e-05,0.7836975943392539,7.8115234e-05
2503,6.11223046834464e-05,0.23013625827513937,0.0002655918
2735,6.077371867067286e-05,0.2288237704512226,0.0002655918
1736,6.051320997372224e-05,0.6455549478793716,9.373828e-05
133,6.0507336270924106e-05,0.3520866847264582,0.00017185352
1469,6.031516538668125e-05,0.29697331797113635,0.00020309961
901,6.002658907094555e-05,0.9605454765660486,6.249219e-05
1192,5.9805736349456305e-05,0.20147609102619343,0.00029683788
345,5.941717134770967e-05,0.10278848965382444,0.0005780528
100,5.8888109629561806e-05,0.01786402841591461,0.003296463
1681,5.855331181409826e-05,1.2492935070781772,4.686914e-05
1899,5.843674787199599e-05,0.20780106699007914,0.00028121486
1773,5.84191637055307e-05,0.12894116270943623,0.00045306838
1416,5.8212112678215057e-05,0.5322915485078461,0.00010936133
2122,5.798503823807037e-05,0.16870483097757516,0.00034370704
2170,5.778207881459374e-05,0.7397030760320983,7.8115234e-05
905,5.7571434890426955e-05,0.05849257806657562,0.000984252
2584,5.7223254805659934e-05,0.13081235807201141,0.00043744533
2708,5.719169131080154e-05,0.15253024636814924,0.00037495312
2146,5.685321818658054e-05,0.17328860967824786,0.000328084
1671,5.65550083997119e-05,0.6033288519258451,9.373828e-05
154,5.62954674106422e-05,0.3002800342760148,0.00018747656
983,5.610262441929662e-05,0.11970056203062149,0.0004686914
1012,5.580068469349778e-05,0.007003313960561479,0.007967754
1036,5.561296336914099e-05,0.35596746357474596,0.00015623047
793,5.556863437032384e-05,0.3556837225130261,0.00015623047
1251,5.549848167496266e-05,0.002311221096294167,0.024012623
2659,5.547144705809314e-05,0.7101232919030914,7.8115234e-05
1210,5.53499702332379e-05,0.10122402234786287,0.00054680667
1541,5.523674874492511e-05,0.5892656574083684,9.373828e-05
2476,5.4450921447909425e-05,0.4356618217122591,0.00012498438
1920,5.421493866360473e-05,0.3154717955397665,0.00017185352
2416,5.4014055875368665e-05,0.5762219693934416,9.373828e-05
34,5.3892998128359856e-05,0.6899166196504415,7.8115234e-05
2191,5.3860628583487306e-05,1.1491704139662118,4.686914e-05
359,5.384079927347024e-05,0.8615604684069014,6.249219e-05
1994,5.345687587519661e-05,0.20127456673485236,0.0002655918
180,5.3273376227301066e-05,0.5683203986155697,9.373828e-05
2497,5.303649653237044e-05,0.42434500798361685,0.00012498438
1344,5.299702894030811e-05,0.17853862988165342,0.00029683788
568,5.269350329628375e-05,0.19840033432672088,0.0002655918
1347,5.2685660697576674e-05,0.674460768464737,7.8115234e-05
1056,5.266563629994698e-05,0.4815745694407838,0.00010936133
2138,5.2448689714987234e-05,0.8392839312925772,6.249219e-05
1024,5.238636560282192e-05,1.6765732417030437,3.1246094e-05
393,5.2330172537216755e-05,0.372172171963722,0.00014060743
773,5.2105246611917326e-05,0.8337881547672492,6.249219e-05
1180,5.1497910088028795e-05,0.4708968811560268,0.00010936133
2576,5.139913835351676e-05,0.07477172743011033,0.0006874141
1331,5.124422249519892e-05,0.11310483087327125,0.00045306838
1656,5.0981644878020753e-05,0.20395206996353538,0.00024996875
166,5.090544842097544e-05,0.25064276659886053,0.00020309961
1425,5.0538455241811156e-05,0.35942947907651956,0.00014060743
1679,5.044681589449682e-05,0.4036249732376795,0.00012498438
